dataset,feature_set,model,raw_model,group_sparse_dimension,group_sparsity,pre_truncation_sparse_dimension,actual_sparse_dimension,pre_truncation_sparsity,actual_sparsity,dense_dimension,p5,p95,p95_over_p5,stats_path
cc3m,truncated,laion__CLIP-ViT-H-14-laion2B-s32B-b79K_text,topk_16384_laion__CLIP-ViT-H-14-laion2B-s32B-b79K_text_k_128,16384,128,16384,14663,128,55.723,1024,0.0157474,0.137498,8.73149,/orcd/scratch/orcd/003/kirilb/PRH_data/topk_sae_cc3m/topk_16384_laion__CLIP-ViT-H-14-laion2B-s32B-b79K_text_k_128/sparse_features_statistics.npz
cc3m,truncated,meta-llama__Llama-3.2-1B-Instruct_text,topk_16384_meta-llama__Llama-3.2-1B-Instruct_text_k_128,16384,128,16384,14912,128,72.3307,2048,0.0110526,0.101962,9.22514,/orcd/scratch/orcd/003/kirilb/PRH_data/topk_sae_cc3m/topk_16384_meta-llama__Llama-3.2-1B-Instruct_text_k_128/sparse_features_statistics.npz
cc3m,truncated,meta-llama__Llama-3.2-3B-Instruct_text,topk_16384_meta-llama__Llama-3.2-3B-Instruct_text_k_128,16384,128,16384,15181,128,78.6325,3072,0.0107867,0.104912,9.72611,/orcd/scratch/orcd/003/kirilb/PRH_data/topk_sae_cc3m/topk_16384_meta-llama__Llama-3.2-3B-Instruct_text_k_128/sparse_features_statistics.npz
cc3m,truncated,microsoft__beit-base-patch16-224_img,topk_16384_microsoft__beit-base-patch16-224_img_k_128,16384,128,16384,16255,128,112.604,768,0.0200309,0.105119,5.24783,/orcd/scratch/orcd/003/kirilb/PRH_data/topk_sae_cc3m/topk_16384_microsoft__beit-base-patch16-224_img_k_128/sparse_features_statistics.npz
cc3m,truncated,microsoft__beit-large-patch16-224_img,topk_16384_microsoft__beit-large-patch16-224_img_k_128,16384,128,16384,16211,128,118.888,1024,0.0207458,0.105733,5.09659,/orcd/scratch/orcd/003/kirilb/PRH_data/topk_sae_cc3m/topk_16384_microsoft__beit-large-patch16-224_img_k_128/sparse_features_statistics.npz
cc3m,truncated,nomic-ai__nomic-embed-text-v1.5_text,topk_16384_nomic-ai__nomic-embed-text-v1.5_text_k_128,16384,128,16384,13653,128,34.3655,768,0.0129699,0.181755,14.0137,/orcd/scratch/orcd/003/kirilb/PRH_data/topk_sae_cc3m/topk_16384_nomic-ai__nomic-embed-text-v1.5_text_k_128/sparse_features_statistics.npz
cc3m,truncated,nomic-ai__nomic-embed-text-v2-moe_text,topk_16384_nomic-ai__nomic-embed-text-v2-moe_text_k_128,16384,128,16384,14216,128,37.2176,768,0.0117553,0.206009,17.5248,/orcd/scratch/orcd/003/kirilb/PRH_data/topk_sae_cc3m/topk_16384_nomic-ai__nomic-embed-text-v2-moe_text_k_128/sparse_features_statistics.npz
cc3m,truncated,openai__clip-vit-base-patch32_img,topk_16384_openai__clip-vit-base-patch32_img_k_128,16384,128,16384,15319,128,38.3643,512,0.0193033,0.120389,6.23671,/orcd/scratch/orcd/003/kirilb/PRH_data/topk_sae_cc3m/topk_16384_openai__clip-vit-base-patch32_img_k_128/sparse_features_statistics.npz
cc3m,truncated,openai__clip-vit-base-patch32_text,topk_16384_openai__clip-vit-base-patch32_text_k_128,16384,128,16384,15813,128,44.0551,512,0.016171,0.144277,8.92197,/orcd/scratch/orcd/003/kirilb/PRH_data/topk_sae_cc3m/topk_16384_openai__clip-vit-base-patch32_text_k_128/sparse_features_statistics.npz
cc3m,truncated,openai__clip-vit-large-patch14_img,topk_16384_openai__clip-vit-large-patch14_img_k_128,16384,128,16384,15455,128,51.6624,768,0.0201092,0.118739,5.90469,/orcd/scratch/orcd/003/kirilb/PRH_data/topk_sae_cc3m/topk_16384_openai__clip-vit-large-patch14_img_k_128/sparse_features_statistics.npz
